"股票代號","股票名稱","收盤價","漲跌","最高價","最低價","成交量"
"0001","鴻運",18.70,-0.30,18.80,18.60,3550
"0002","福元",24.20,-0.50,24.60,24.20,11801
"0003","成長",24.90,-0.10,25.00,24.90,177
"0004","國民",21.30,-0.40,21.50,21.10,1738
"0005","成功",17.20,-0.40,17.50,17.20,175
"0006","鴻福",17.50,-0.30,17.60,17.50,98
"0011","和信",16.10,-0.30,16.30,15.60,724
"0012","多元",13.35,-0.05,13.40,13.10,21409
"0013","永昌",10.90,-0.15,11.00,10.80,1976
"0014","統信",17.90,-0.10,18.00,17.80,737
"0015","富邦",17.60,-0.30,17.80,17.50,2714
"0018","怡富",19.60,-0.60,20.00,19.60,6630
"0019","鑽石",11.40,-0.10,11.45,11.40,55
"0020","元富金",20.60,-0.20,20.70,20.50,1019
"0021","富貴",14.90,-0.20,15.00,14.80,6313
"0023","群益基金",24.30,-0.20,24.40,24.10,2433
"0024","元滿",11.75,-0.25,11.90,11.70,1910
"0025","大發",11.75,-0.25,11.90,11.70,534
"0026","金鼎概",11.05,-0.20,11.20,11.00,752
"0027","中國金",13.75,-0.05,13.75,13.45,3626
"0028","群益店",14.90,-0.30,15.20,14.80,1325
"1101","台泥",38.30,-0.30,38.80,38.20,1761
"1102","亞泥",40.50,-0.60,40.50,40.20,2093
"1103","嘉泥",23.10,-0.10,23.20,23.00,2170
"1104","環泥",18.10,0.20,18.20,17.90,678
"1107","建台",15.80,-0.10,16.00,15.70,1592
"1108","幸福",21.10,-0.20,21.30,20.80,62
"1109","信大",33.60,0.40,33.60,32.80,38
"1110","東泥",19.80,-0.10,19.90,19.60,447
"1201","味全",41.20,0.60,41.70,40.40,3917
"1202","農林",85.00,-1.50,85.50,84.50,2509
"1203","味王",27.50,0.10,27.80,27.50,485
"1206","台鳳",67.50,0.00,67.50,66.00,1777
"1207","嘉麵",14.60,0.00,14.65,14.40,1186
"1209","益華",18.80,0.00,18.80,18.50,4466
"1210","大成",18.80,-0.30,19.00,18.50,2365
"1212","中日",22.70,-0.60,23.30,22.70,651
"1213","大西洋",46.80,-0.40,47.20,46.80,17
"1214","尚德",16.10,0.40,16.20,15.70,204
"1215","卜蜂",19.80,-0.20,20.00,19.70,376
"1216","統一",45.90,-0.10,46.00,45.50,2889
"1217","愛之味",21.20,-0.20,21.50,21.10,600
"1218","泰山",22.50,0.70,22.50,21.60,3298
"1219","福壽",15.60,-0.20,16.00,15.30,577
"1220","台榮",18.40,-0.10,18.50,18.30,50
"1221","久津",16.10,-0.30,16.50,16.00,359
"1222","源益",15.10,-0.30,15.40,15.10,194
"1223","大裕",82.00,-1.00,83.00,81.50,957
"1224","惠勝",16.60,-0.20,16.80,16.50,48
"1225","福懋油",29.20,-0.40,29.70,29.20,177
"1226","立大",17.90,-0.20,18.20,17.70,253
"1227","佳格",51.50,-0.50,52.00,50.00,171
"1228","臺芳",16.20,0.20,16.40,16.10,370
"1229","聯華",25.60,-0.30,25.70,25.20,1147
"1230","聯成食",27.50,0.30,27.70,27.20,90
"1231","聯華食",62.00,3.50,62.50,59.00,2583
"1232","大統益",25.30,-0.30,25.60,25.30,59
"1301","台塑",62.50,-1.00,63.00,62.00,4206
"1303","南亞",72.00,-1.00,72.50,72.00,5154
"1304","台聚",33.80,1.80,33.80,31.50,14471
"1305","華夏",24.10,0.10,24.30,23.40,4890
"1306","合發",24.30,0.00,24.30,24.30,90
"1307","三芳",26.50,-0.40,27.40,26.10,4928
"1308","亞聚",58.00,0.50,58.00,57.00,1739
"1309","台達化",28.90,0.70,28.90,27.50,5365
"1310","台苯",28.00,0.30,28.40,27.50,3328
"1311","福聚",35.80,0.00,36.20,35.10,1811
"1312","國喬",24.00,0.40,24.20,23.30,6140
"1313","聯成",25.60,0.20,26.00,25.00,2828
"1314","中石化",44.60,-0.50,45.40,44.40,15263
"1315","達新",32.30,0.40,33.00,31.70,1340
"1316","上曜",19.60,-0.10,20.20,19.60,157
"1317","尚鋒",8.90,-0.10,9.00,8.80,113
"1318","普大",29.70,-0.10,29.80,29.50,458
"1319","東陽",34.70,-0.90,35.60,34.70,1338
"1320","大穎",25.00,0.50,25.00,24.20,1674
"1402","遠紡",46.00,-0.60,46.50,45.70,5509
"1407","華隆",28.00,-0.60,28.50,28.00,42304
"1408","中紡",12.95,-0.05,13.00,12.80,1822
