"買賣日期", "股票名稱", "買賣張數", "買賣價"
97/7/2,"台泥",10.00,43.50
97/7/3,"台泥",30.00,42.60
97/7/4,"台泥",50.00,42.50
97/7/2,"聲寶",20.00,26.50
97/7/3,"聲寶",30.00,26.30
97/7/4,"聲寶",5.00,26.40
97/7/9,"聲寶",20.00,25.80
97/7/10,"聲寶",-50.00,27.60
97/7/2,"臺積電",100.00,115.00
97/7/3,"臺積電",200.00,113.00
97/7/4,"臺積電",300.00,117.50
97/7/5,"臺積電",500.00,120.00
97/7/2,"台泥",20.00,43.00
97/7/2,"台泥",-5.00,44.00
97/7/3,"台泥",50.00,43.00
97/7/4,"台泥",-30.00,42.00
97/7/2,"聲寶",100.00,26.00
97/7/2,"聲寶",100.00,26.30
97/7/3,"聲寶",-59.00,26.50
97/7/4,"聲寶",-150.00,26.40
97/7/2,"臺積電",400.00,120.00
97/7/2,"臺積電",-300.00,118.00
97/7/2,"臺積電",-100.00,115.00
97/7/3,"臺積電",500.00,113.00
97/7/5,"臺積電",-300.00,125.00
